               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096837,            0.039858,            0.015107,             0.14986,             0.66241,             0.21806,            0.071501,            0.059696,            0.033379,            0.011085,              0.0721,              0.0031,              0.0031
                   1,            0.070904,            0.031357,            0.010952,             0.22808,              0.6792,             0.33713,             0.13418,            0.067554,            0.020344,            0.010071,            0.043243,           0.0062433,           0.0062433
                   2,            0.069715,            0.027826,            0.010471,             0.23569,             0.74005,             0.38585,             0.15169,            0.057064,            0.019766,           0.0099463,            0.014329,            0.009329,            0.009329
                   3,            0.062127,            0.027279,            0.010629,             0.20844,             0.74353,             0.36496,             0.13719,            0.053223,            0.021066,           0.0099339,             0.00973,             0.00973,             0.00973
                   4,            0.056611,            0.025719,            0.010332,             0.27092,             0.73483,             0.42044,             0.15289,            0.047659,            0.020441,           0.0098827,             0.00973,             0.00973,             0.00973
                   5,            0.051982,            0.025651,            0.010637,             0.34084,             0.72427,             0.46793,             0.24273,            0.038924,            0.018487,           0.0097675,             0.00964,             0.00964,             0.00964
                   6,             0.04994,            0.026686,            0.010297,             0.37852,             0.76216,             0.49555,             0.28941,            0.034138,            0.017363,           0.0097275,             0.00955,             0.00955,             0.00955
                   7,              0.0477,            0.026272,            0.010344,             0.37179,             0.85582,              0.4846,             0.30213,            0.033569,            0.017076,           0.0096256,             0.00946,             0.00946,             0.00946
                   8,             0.04669,            0.024987,            0.010534,             0.38531,             0.86599,              0.4981,             0.32057,            0.031648,            0.016746,           0.0096643,             0.00937,             0.00937,             0.00937
                   9,            0.043907,            0.025317,           0.0099053,             0.33721,             0.90645,              0.4882,             0.31335,             0.03166,            0.017644,           0.0095374,             0.00928,             0.00928,             0.00928
                  10,            0.045231,            0.025334,           0.0099555,             0.35698,              0.8716,              0.5038,             0.32153,            0.032507,            0.017638,           0.0094433,             0.00919,             0.00919,             0.00919
                  11,            0.042969,            0.024782,           0.0098879,             0.41988,             0.85361,             0.53025,             0.35561,            0.030274,            0.016231,           0.0092641,              0.0091,              0.0091,              0.0091
                  12,            0.042537,            0.024795,           0.0099373,             0.41205,             0.83455,             0.54764,             0.38018,            0.029496,            0.016296,           0.0090387,             0.00901,             0.00901,             0.00901
                  13,            0.042376,            0.024033,           0.0096883,             0.36956,             0.78405,              0.5552,             0.36756,            0.031115,             0.01894,           0.0089864,             0.00892,             0.00892,             0.00892
                  14,            0.042208,            0.024287,           0.0093872,             0.46011,             0.78733,             0.59769,             0.40069,             0.03005,            0.016517,           0.0088208,             0.00883,             0.00883,             0.00883
                  15,             0.04067,            0.023321,           0.0090986,             0.48757,             0.73008,             0.60434,             0.40943,            0.029909,            0.016427,           0.0083756,             0.00874,             0.00874,             0.00874
                  16,            0.040298,             0.02361,           0.0088352,              0.5165,              0.7396,             0.64258,             0.43812,            0.028786,            0.015792,           0.0079367,             0.00865,             0.00865,             0.00865
                  17,            0.038951,            0.022863,           0.0088768,             0.52099,             0.75356,             0.65778,             0.45762,             0.02919,            0.015519,           0.0074575,             0.00856,             0.00856,             0.00856
                  18,            0.040806,            0.023541,           0.0086238,             0.56807,              0.6929,             0.68209,              0.4677,            0.029235,            0.016237,           0.0075375,             0.00847,             0.00847,             0.00847
                  19,            0.038545,            0.023889,           0.0084321,              0.5828,             0.73285,             0.68087,             0.46336,            0.028912,            0.015895,            0.007483,             0.00838,             0.00838,             0.00838
                  20,            0.038457,            0.023469,           0.0082414,             0.56693,             0.73647,             0.70388,             0.47796,            0.029402,            0.015648,            0.007014,             0.00829,             0.00829,             0.00829
                  21,            0.038346,             0.02359,           0.0079164,             0.56448,               0.785,             0.70569,             0.49791,            0.027959,            0.015478,           0.0065484,              0.0082,              0.0082,              0.0082
